size,difficulty,seed,solver,solved,timed_out,nodes,conflicts,backtracks,propagations,time_ms,best_cost
14,easy,4,fc,1,0,294,132,132,549,7.87,
14,easy,4,full,1,0,6,0,0,140,1.85,
14,easy,4,hc,0,1,107550,1344,1344,0,5000.41,15
14,easy,4,sa,0,1,119076,106755,10,0,5000.01,1
14,medium,0,bt,1,0,9528,4750,4778,0,2207.01,
14,medium,0,fc,1,0,340,156,156,613,9.96,
14,medium,0,full,1,0,15,1,1,160,2.47,
14,medium,0,hc,0,1,123720,2475,2475,0,5000.26,9
14,medium,0,sa,1,0,9822,8742,0,0,331.87,0
14,medium,1,bt,0,1,19517,9753,9765,0,5000.31,
14,medium,1,fc,1,0,60,18,18,217,2.0,
14,medium,1,full,1,0,14,0,0,146,2.53,
14,medium,1,hc,0,1,125880,3017,3017,0,5003.76,4
14,medium,1,sa,1,0,29095,25783,2,0,1121.44,0
14,medium,2,bt,1,0,3491,1732,1759,0,813.06,
14,medium,2,fc,1,0,106,40,40,239,6.07,
14,medium,2,full,1,0,11,0,0,149,2.7,
14,medium,2,hc,0,1,107670,2386,2386,0,5000.29,8
14,medium,2,sa,0,1,121122,108670,10,0,5000.03,2
14,medium,3,bt,1,0,18770,9372,9398,0,4565.55,
14,medium,3,fc,1,0,47,11,11,179,2.95,
14,medium,3,full,1,0,17,0,0,143,4.09,
14,medium,3,hc,0,1,113040,3272,3272,0,5000.56,5
14,medium,3,sa,1,0,129979,116298,11,0,4920.73,0
14,medium,4,bt,1,0,721,347,374,0,142.67,
14,medium,4,fc,1,0,2347,1161,1161,5118,57.93,
14,medium,4,full,1,0,13,1,1,159,2.2,
14,medium,4,hc,0,1,116160,2555,2555,0,5001.0,7
14,medium,4,sa,0,1,136886,122166,12,0,5000.02,1
14,hard,0,bt,0,1,24836,12410,12427,0,5000.13,
14,hard,0,fc,1,0,40,8,8,169,2.06,
14,hard,0,full,1,0,20,0,0,152,2.66,
14,hard,0,hc,0,1,120390,3359,3359,0,5001.88,2
14,hard,0,sa,1,0,7781,6611,0,0,264.59,0
14,hard,1,bt,0,1,24793,12390,12404,0,5001.04,
14,hard,1,fc,1,0,36,9,9,191,3.39,
14,hard,1,full,1,0,18,0,0,154,6.0,
14,hard,1,hc,0,1,129600,3530,3530,0,5002.36,2
14,hard,1,sa,1,0,7859,6713,0,0,237.61,0
14,hard,2,bt,1,0,987,482,505,0,156.78,
14,hard,2,fc,1,0,35,6,6,169,1.42,
14,hard,2,full,1,0,21,0,0,151,3.25,
14,hard,2,hc,0,1,126360,3796,3796,0,5000.29,3
14,hard,2,sa,1,0,28062,24510,2,0,998.61,0
14,hard,3,bt,1,0,702,341,361,0,171.76,
14,hard,3,fc,1,0,36,7,7,170,1.77,
14,hard,3,full,1,0,22,0,0,150,3.63,
14,hard,3,hc,1,0,128190,4099,4099,0,4812.04,0
14,hard,3,sa,1,0,18377,16090,1,0,561.87,0
14,hard,4,bt,1,0,319,147,172,0,66.22,
14,hard,4,fc,1,0,33,3,3,154,2.01,
14,hard,4,full,1,0,26,0,0,146,3.75,
14,hard,4,hc,1,0,22050,724,724,0,829.01,0
14,hard,4,sa,1,0,3812,2747,0,0,123.47,0
18,easy,0,bt,1,0,9356,4649,4707,0,4082.88,
18,easy,0,fc,1,0,136,39,39,360,5.59,
18,easy,0,full,1,0,8,2,2,250,9.68,
18,easy,0,hc,0,1,63960,911,911,0,5000.68,32
18,easy,0,sa,0,1,71789,62854,6,0,5000.03,5
18,easy,1,bt,0,1,17696,8836,8860,0,5000.28,
18,easy,1,fc,1,0,2811,1377,1377,5137,123.45,
18,easy,1,full,1,0,2,0,0,240,2.43,
18,easy,1,hc,0,1,67950,556,556,0,5002.64,37
18,easy,1,sa,0,1,75279,67152,6,0,5000.02,2
18,easy,2,bt,0,1,13594,6795,6799,0,5000.03,
18,easy,2,fc,1,0,2485,1218,1218,4270,82.2,
18,easy,2,full,1,0,11,3,3,326,3.88,
18,easy,2,hc,0,1,69330,744,744,0,5000.78,32
18,easy,2,sa,0,1,76412,68024,6,0,5000.03,6
18,easy,3,bt,0,1,10555,5265,5291,0,5001.14,
18,easy,3,fc,1,0,72,12,12,223,6.79,
18,easy,3,full,1,0,7,0,0,235,2.87,
18,easy,3,hc,0,1,71850,774,774,0,5001.45,33
